Cant.,Código,NumeraciónDesde,NumeraciónHasta,Descripción del Bien,Est.,Observaciones,Valor  Unitario,archivo_origen,fecha_inventario
2,,,,Llaves combinadas ¾ “ y 12 mm Marca Robust,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
1,,,,Llave combinada  ¾” Marca  Tramontina Pro,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 025.docx,30/10/2023
1,,,,Juego de sierras copa p/madera 11 piezas – Marca Bosch,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
10,,,,Limas planas grano medio sin mango – Marca Bahco,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
1,,,,Serrucho de 500 mm Marca Bulit,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
1,,,,Tijera Hojalatero corte recto 10” Marca Barbero,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
2,,,,Limas Cuadradas 8” – Marca Plena,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
7,,,,Limas Media Caña 8” - Marca Plena,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
9,,,,Limas Media Caña 8” - Marca Nicholson,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
16,,,,Mangos para limas color Azul -,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
2,,,,Destornilladores paleta 5x100 y 6x125 Marca Irimo,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
1,,,,Destornilladores Phillisps  8x150  Marca Irimo,Nuevo,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes 026.docx,30/10/2023
1,3.1,,,TORNO DIGITAL Mod. T1000 ENET- Type 1440B – Mach N° 002,R,Enviado por INET,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Dobladora de caño de ½ a 2 pulgadas.,B,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Equipo de soldadura eléctrica para c.c. 350ª con accesorios.,R,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,MOTOR NEF 6 cód. 00015881   5802068180- MAT 8056935,Nuevo,DONADO POR FIAT IVECO,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Amoladora skil 4 1/2” 820w,R,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
2,3.1,,,Amoladora black y decker 4 ½” 820w,R,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Amoladora salkor 4 1/2,R,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Taladro dowen paggio 1050w mandril 16mm,B,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Taladro skil 550w mandril 13mm,R,,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Router skil modelo 1831 1100 w,R,Problemas de rodamientos,,RP-01 Inventario de Bienes MAQUINAS1.docx,30/10/2023
1,3.1,,,Taladro skil 570w mandril 13mm,R,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
1,3.1,,,Taladro skil 600w mandril 13mm,R,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
1,3.1,,,Taladro bosch mandril 13mm,R,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
2,3.1,,,Caladora skil 4550 550w,R,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
1,3.1,,,Caladora stanley 600w,R,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
1,3.1,,,Caladora black y decker 600w,B,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
1,3.1,,,Lijadora orbital skil 200 w,R,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
1,3.1,,,Taladro marca bosch 600w gsb 13 re,B,,,RP-01 Inventario de Bienes MAQUINAS2.docx,30/10/2023
2,3.1,,,TORNOS PARALELOS CM Modelo CN-30/91 mm c’ reclas digitales y accesorios,B,AQUIRIDO POR INET,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
2,3.1,,,Lijadora orbital black y decker,R,En reparación,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
3,3.1,,,Tornos paralelos ½ Bancada Marca Parmo,R,1 no funciona,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,Equipo para pintar,R,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,Soldadora Marca DAGO MIG 205,R,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,Soldadora Marca GLADIATOR,R,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,COMPRESOR ALPHA 50 Lts. Motor 2 HP,MB,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,Soldadora 220 V 50/60 Hz Marca Dogo,R,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,Soldadora Dual MIG 120:220 50/60 Hz,B,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
1,3.1,,,VENTILADOR EXTRACTOR MONOFASICO BAX 300,,,,RP-01 Inventario de Bienes MAQUINAS3.docx,30/10/2023
3,3.1,,,Agujereadoras de banco con motor trifásico de ½ HP con mandril,R,"2 EN ESTADO REGULAR
1 DESARMADA",,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,Limadora  30 cm de trabajo,R,Donado por Hiparsa,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,Rectificadora,R,Donado por Hiparsa INCOMPLETA,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,OSCILOSCOPIO DIGITAL 60 MHZ 1 GS/S 40 KPS GRATTEN – MODELO GA -1062 CAL,,,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,DUROMETRO DINAMICO PORTATIL DE IMPACTO QH5 Marca DEMEQ,,,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,MINITORNO Blackdecker,Nuevo,Programa 39- Herramental Menor,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,Fresadora combinada universal de torreta CM Modelo FC-1. Con reglas digitales.,B,,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,Torno Paralelo CM Modelo CM-30/914 mm Con reglas digitales,B,Fuera de Servicio por falta de repuesto,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,3.1,,,Cortadora sensitiva 2000 Watt,R,,,RP-01 Inventario de Bienes MAQUINAS4.docx,30/10/2023
1,,,,Caladora 550w  - Marca Skil,Nueva,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Amoladora 4 1/2” 830W - Marca Skil,Nueva,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Pistola Neumática Marca Stonger,Nueva,En Armario de Jefe Gral. de Taller,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Soldadora Inverter SML 130-7 Marca LUSQTOFF,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Amoladora Marca BOSCH Profesional 1800 W,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Fresadora Marca SKILL 1100 con maletín y accesorios.,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
2,,,,Atornillador Marca BOSCH Profesional GSR 1000 Smart con10 puntas y  maletín,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
2,,,,Sierra Caladora Marca SKILL 3800 W,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Morsa Giratoria Plana de Precisión N° 6  Marca CUTMAC,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
1,,,,Lijadora Orbital 220 W Marca Bosch,Nueva,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS5.docx,30/10/2023
2,,,,Lijadora de Banda 800 W Marca SALKOR,B,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS6.docx,30/10/2023
2,3.9,,,Smart TV Marca Tedge 32”,B,"Adquirida por Plan FORJAR 
 Destinados a Rotación de Electrónica y Oficina Técnica",,RP-01 Inventario de Bienes MAQUINAS6.docx,30/10/2023
3,,,,Amoladora Marca BOSCH Profesional 1800 W,B,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS6.docx,30/10/2023
1,,,,Cortadora Plasma Profesional Marca LUSQTOFF INCUT-640,B,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS6.docx,30/10/2023
1,,,,Lijadora de Banco y banda 440 w Marca  LUSQTOFF,B,Adquirida por Plan FORJAR,,RP-01 Inventario de Bienes MAQUINAS6.docx,30/10/2023
